,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
COLEGIO NACIONAL JOSÉ PEDRO VARELA,"COLONIA 1637 ESQ. MINAS, Montevideo, Uruguay","-34,902844","-56,1815077",118
COLEGIO NACIONAL JOSÉ PEDRO VARELA,"COLONIA 1637 ESQ. MINAS, Montevideo, Uruguay","-34,902844","-56,1815077",119
COLEGIO NACIONAL JOSÉ PEDRO VARELA,"COLONIA 1637 ESQ. MINAS, Montevideo, Uruguay","-34,902844","-56,1815077",120
COLEGIO NACIONAL JOSÉ PEDRO VARELA,"COLONIA 1637 ESQ. MINAS, Montevideo, Uruguay","-34,902844","-56,1815077",121
COLEGIO NACIONAL JOSÉ PEDRO VARELA,"COLONIA 1637 ESQ. MINAS, Montevideo, Uruguay","-34,902844","-56,1815077",122
MINISTERIO DE DESARROLLO SOCIAL,"AV. 18 DE JULIO  1453 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9050863","-56,1850329",123
MINISTERIO DE DESARROLLO SOCIAL,"AV. 18 DE JULIO  1453 ESQ. DR. JAVIER BARRIOS AMORÍN, Montevideo, Uruguay","-34,9050863","-56,1850329",124
LICEO Nº 32,"CARLOS ROXLO  1611  ESQ. PAYSANDÚ, Montevideo, Uruguay","-34,900669","-56,183112",125
LICEO Nº 32,"CARLOS ROXLO  1611  ESQ. PAYSANDÚ, Montevideo, Uruguay","-34,900669","-56,183112",126
LICEO Nº 32,"CARLOS ROXLO  1611  ESQ. PAYSANDÚ, Montevideo, Uruguay","-34,900669","-56,183112",127
COLEGIO NACIONAL JOSÉ PEDRO VARELA  GIMNASIO,"MERCEDES 1634 ESQ. MINAS, Montevideo, Uruguay","-34,9028399","-56,1810237",128
COLEGIO NACIONAL JOSÉ PEDRO VARELA  GIMNASIO,"MERCEDES 1634 ESQ. MINAS, Montevideo, Uruguay","-34,9028399","-56,1810237",129
COLEGIO NACIONAL JOSÉ PEDRO VARELA  GIMNASIO,"MERCEDES 1634 ESQ. MINAS, Montevideo, Uruguay","-34,9028399","-56,1810237",130
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",131
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",132
COLEGIO SEMINARIO  BACHILLERATO,"ANDRÉS MARTÍNEZ TRUEBA 1227 ESQ. SORIANO, Montevideo, Uruguay","-34,9073039","-56,1832389",133
